num_chords,chords__index,chordsTime,chordsTime + offset,,chords__chord,gap,in_reaper?,Region_Reaper,
186,0,0.07,1.2975,,N,8.55,,,
,1,8.62,9.8473,,A:maj,0.61,yes,Intro,
chordTimes_offset_01,2,9.23,10.4581,,B:maj,1.82,yes,,
,3,11.06,12.2797,,A:maj,0.61,yes,,
,4,11.67,12.8923,,G:maj,1.84,yes,,
,5,13.51,14.7327,,A:maj,0.62,yes,,
chordTimes_offset_01a,6,14.12,15.3484,,B:min6,1.85,yes,,
1.224,7,15.97,17.1972,,A:maj6,0.62,yes,,
,8,16.59,17.8139,,G:maj7,1.54,yes,,
,9,18.13,19.3528,,A:maj7,1.23,,,
,10,19.36,20.5831,,B:min,1.23,,,
,11,20.59,21.8143,,A:maj6,1.22,,,
,12,21.81,23.0389,,G:maj7,1.22,,,
,13,23.04,,,A:maj6,1.23,,,
,14,24.27,,,B:min,1.22,,,
Drift#1,15,25.49,,,A:maj6,1.22,,,
30.612 - 30.3801,16,26.71,,,G:maj7,1.22,,,
0.2319,17,27.93,,,A:maj6,1.22,,,
chordTimes_offset_02,18,29.16,31.8367,,B:min7,1.22,,Verse 1,
2.679,19,30.38,33.0612,,A:min6,1.23,,,
,20,31.61,34.2883,,G:maj7,1.22,,,
,21,32.83,35.5111,,A:maj6,1.22,,,
,22,34.06,36.7356,,B:min,1.23,,,
,23,35.28,37.9635,,A:maj6,0.92,,,
,24,36.20,38.8809,,G:maj7,1.53,,,
,25,37.73,40.4105,,A:maj6,0.92,,,
,26,38.65,41.3269,,B:min7,1.84,,,
,27,40.48,43.1631,,A:maj6,0.92,,,
,28,41.40,44.0828,,G:maj7,1.22,,,
,29,42.63,45.3066,,A:maj6,1.22,,,
,30,43.85,46.5267,,B:min,1.22,,,
,31,45.07,47.7492,,A:min6,1.23,,,
,32,46.30,48.9747,,G:maj7,1.53,,,
,33,47.83,50.5051,,A:maj6,0.92,,,
,34,48.74,51.4238,,B:min,1.23,,,
,35,49.97,52.6498,,A:maj6,1.22,,,
,36,51.19,53.8698,,G:maj7,1.22,,,
,37,52.41,55.0896,,A:maj6,1.22,,,
,38,53.63,56.3066,,B:min,1.22,,,
