type,id,time,description
REGION,1,9.80,intro
REGION,1,29.39,
REGION,2,31.84,verse 1
REGION,2,71.02,
REGION,3,52.65,wahwah(s)
REGION,3,60.00,
REGION,6,71.02,Break 2
REGION,6,80.82,
REGION,4,80.82,verse 2
REGION,4,120.00,
REGION,7,120.00,break 3
REGION,7,146.94,
REGION,5,151.84,percussion
REGION,5,158.57,
REGION,8,188.57,verse 3
REGION,8,217.96,
,,,
MARKER,1,32.45,there must be some kinda...
MARKER,2,36.06,said the joker...
MARKER,3,41.02,there's too much....
MARKER,4,47.14,I can't get no....
MARKER,5,52.04,business man....
MARKER,6,56.94,plowman dig....
MARKER,7,61.22,no one ever....
MARKER,8,66.12,no what any of this....
MARKER,9,81.43,no reason to get excited....
